transaction_id,customer_id,product_id,store_id,transaction_date,quantity,unit_price
T001,C001,P001,S001,2026-09-01,1,900
T002,C002,P002,S002,2026-09-01,2,25
T003,C003,P004,S003,2026-09-02,1,300
T004,C001,P003,S001,2026-09-02,2,75
T005,C004,P006,S004,2026-09-03,1,180
T006,C005,P008,S006,2026-09-03,1,120
T007,C006,P005,S002,2026-09-04,3,15
T008,C007,P007,S005,2026-09-04,1,250
T009,C008,P009,S006,2026-09-05,2,85
T010,C009,P010,S003,2026-09-05,2,45
T011,C010,P012,S004,2026-09-06,1,450
T012,C011,P011,S001,2026-09-06,1,150
T013,C012,P014,S007,2026-09-07,5,10
T014,C013,P015,S005,2026-09-07,1,60
T015,C014,P001,S006,2026-09-08,1,900
T016,C015,P004,S008,2026-09-08,2,300
T017,C001,P002,S001,2026-09-09,3,25
T018,C002,P008,S002,2026-09-09,1,120
T019,C003,P006,S003,2026-09-10,1,180
T020,C004,P007,S004,2026-09-10,2,250
T021,C005,P003,S006,2026-09-11,1,75
T022,C006,P009,S007,2026-09-11,1,85
T023,C007,P012,S005,2026-09-12,1,450
T024,C008,P005,S006,2026-09-12,4,15
T025,C009,P011,S008,2026-09-13,1,150
T026,C010,P013,S004,2026-09-13,1,220
T027,C011,P010,S001,2026-09-14,3,45
T028,C012,P002,S007,2026-09-14,2,25
T029,C013,P014,S005,2026-09-15,10,10
T030,C014,P015,S006,2026-09-15,1,60
T031,C015,P001,S008,2026-09-16,1,900
T032,C001,P004,S001,2026-09-16,1,300
T033,C002,P006,S002,2026-09-17,2,180
T034,C003,P007,S003,2026-09-17,1,250
T035,C004,P008,S004,2026-09-18,2,120
T036,C005,P009,S006,2026-09-18,1,85
T037,C006,P012,S007,2026-09-19,1,450
T038,C007,P003,S005,2026-09-19,2,75
T039,C008,P013,S006,2026-09-20,1,220
T040,C009,P005,S008,2026-09-20,5,15
